鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,建案名稱,棟及號
南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,14.14,住,NA,NA,1111102,土地3建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,111.09,2,2,1,有,無,21510000,253778,坡道平面,36.97,2700000,NA,中研首席,A3-2F號
文山區,房地(土地+建物)+車位,臺北市文山區華興里,12.9,住,NA,NA,1111103,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,99.48,2,1,1,有,無,13290000,178413,坡道平面,36.2,2000000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,青耘上,C-6F號
文山區,房地(土地+建物),臺北市文山區華興里,10.66,住,NA,NA,1111103,土地1建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,52.39,1,1,1,有,無,9750000,186104,NA,0.0,0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,青耘上,B-9F號
文山區,房地(土地+建物)+車位,臺北市文山區華興里,12.9,住,NA,NA,1111103,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,99.48,2,1,1,有,無,13530000,184576,坡道平面,36.2,1850000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,青耘上,C-10F號
文山區,房地(土地+建物)+車位,臺北市文山區華興里,18.55,住,NA,NA,1111103,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,127.21,2,2,1,有,無,18780000,186024,坡道平面,36.2,1850000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,青耘上,D-10F號
文山區,房地(土地+建物),臺北市文山區華興里,12.9,住,NA,NA,1111103,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,63.28,2,1,1,有,無,11490000,181574,NA,0.0,0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,青耘上,C-8F號
文山區,房地(土地+建物),臺北市文山區華興里,18.55,住,NA,NA,1111103,土地1建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,91.01,2,2,1,有,無,16790000,184485,NA,0.0,0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,青耘上,D-9F號
文山區,房地(土地+建物)+車位,臺北市文山區華興里,24.94,住,NA,NA,1111103,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,158.6,3,2,2,有,無,24440000,184559,坡道平面,36.2,1850000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,青耘上,A-9F號
文山區,房地(土地+建物),臺北市文山區華興里,10.66,住,NA,NA,1111103,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,52.39,1,1,1,有,無,9670000,184577,NA,0.0,0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,青耘上,B-8F號
文山區,房地(土地+建物)+車位,臺北市文山區華興里,12.9,住,NA,NA,1111103,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,99.48,2,1,1,有,無,13430000,182996,坡道平面,36.2,1850000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,青耘上,C-9F號
文山區,房地(土地+建物)+車位,臺北市文山區華興里,14.92,住,NA,NA,1111103,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,109.38,2,1,1,有,無,15390000,182973,坡道平面,36.2,2000000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,青耘上,E-9F號
文山區,房地(土地+建物)+車位,臺北市文山區華興里,14.92,住,NA,NA,1111103,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,109.38,2,1,1,有,無,15280000,181470,坡道平面,36.2,2000000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,青耘上,E-8F號
文山區,房地(土地+建物),臺北市文山區華興里,12.9,住,NA,NA,1111103,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,63.28,2,1,1,有,無,12100000,191214,NA,0.0,0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,青耘上,C-11F號
中山區,房地(土地+建物),臺北市中山區德惠街,8.5,商,NA,NA,1111104,土地2建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,86.02,2,1,1,有,無,22000000,255754,NA,0.0,0,NA,忠泰繪,B1-2F號
