鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段１２１巷１２號九樓,35.44,住,,,1130203,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000909,218.57999999999998,3,2,2,有,有,20000000,91500,坡道平面,0.0,0,贈熱水器.瓦斯爐.沙發組.冷氣X5.廚具.流理臺.抽油煙機,RPPNMLOKKHJGFAH67DA,97.45,8.56,15.96,有,
桃園區,土地,延壽段1056-2地號,8.45,住,,,1130201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1533660,181498,,0.0,0,,RPUOMLQKKHJGFAH48DA,0.0,0.0,0.0,無,
桃園區,土地,延壽段1056地號,8.22,住,,,1130201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1491960,181504,,0.0,0,,RPXOMLQKKHJGFAH78DA,0.0,0.0,0.0,無,
龍潭區,房地(土地+建物)+車位,桃園市龍潭區永昌路５１巷２５號三樓,39.8,住,,,1130202,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120627,144.0,3,2,2,有,有,11130000,74447,坡道平面,15.99,1600000,,RPSNMLRKKHJGFCH48DA,82.17,0.0,8.01,有,
中壢區,房地(土地+建物),桃園市中壢區中平路１３７號八樓之７,3.01,商,,,1130202,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0851128,35.839999999999996,1,1,1,有,有,3290000,91797,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKKHJGFBH18EA,21.02,0.0,4.72,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區民族路２５６號二十三樓,29.25,商,,,1130112,土地1建物1車位2,二十三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970901,328.38,0,0,0,無,有,20180000,61453,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；毛胚屋；,RPSNMLPLJHJGFAH08DA,162.38,9.17,24.45,有,
桃園區,房地(土地+建物),桃園市桃園區埔新路６６號三樓之８,28.63,商,,,1130114,土地6建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680109,92.45,3,2,1,有,無,4880000,52785,,0.0,0,,RPPOMLLMJHJGFAH57DA,92.45,0.0,0.0,無,
桃園區,房地(土地+建物),桃園市桃園區民富二街５３號二樓,17.6,住,,,1130114,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840520,116.94,3,2,2,有,有,8200000,70121,,0.0,0,,RPTOMLPJKHJGFAH18DA,66.39,2.25,8.07,有,001
中壢區,土地,普義段207-2地號,0.03,,,,1130108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3158,0,,0.0,0,協議價購；,RPURMLQKJHJGFBH78DA,0.0,0.0,0.0,無,002
中壢區,房地(土地+建物),桃園市中壢區榮安一街３２６號十二樓之１,6.7,住,,,1130122,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900716,60.760000000000005,1,1,1,有,有,5280000,86899,,0.0,0,,RPUPMLPLJHJGFBH58DA,42.14,0.0,2.1,有,
觀音區,房地(土地+建物),桃園市觀音區福祥街１１１號九樓之３,16.96,住,,,1130111,土地5建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110524,66.61,2,2,1,有,有,5400000,81069,,0.0,0,,RPOOMLKMJHJGFBH47DA,42.37,0.0,2.96,有,003
中壢區,房地(土地+建物)+車位,桃園市中壢區興安一街２８號六樓之２,27.68,住,,,1130101,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990917,187.46,4,2,2,有,有,14600000,77883,坡道平面,32.57,0,陽台外推；,RPORMLLJKHJGFBH67DA,92.26,1.93,13.15,有,004
觀音區,房地(土地+建物),桃園市觀音區新富路７６５巷１２號,28.53,,特定農業區,甲種建築用地,1130114,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830530,89.19,5,2,1,有,有,3550000,39803,,0.0,0,,RPPTMLPJKHJGFBH38DA,69.84,8.48,0.0,無,005
觀音區,房地(土地+建物),桃園市觀音區二聖路３１３巷５０號十一樓,14.14,商,,,1130115,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110803,77.62,2,1,1,有,有,5350000,68926,,0.0,0,,RPTRMLQJKHJGFBH68DA,48.8,0.0,3.24,有,006
中壢區,房地(土地+建物),桃園市中壢區強國路２４３號,94.0,住,,,1130118,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0660204,47.26,2,1,2,有,無,4600000,97334,,0.0,0,,RPRPMLRJKHJGFBH38DA,47.26,0.0,0.0,無,
楊梅區,房地(土地+建物),桃園市楊梅區楊新路一段３８２巷１６號,63.0,,特定農業區,甲種建築用地,1130101,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700404,109.5,4,2,3,有,無,6050000,55251,,0.0,0,頂樓加蓋；其他增建；,RPWOMLMJJHJGFDH38DA,109.5,0.0,0.0,無,
楊梅區,房地(土地+建物),桃園市楊梅區福德街８７巷４弄２２號,59.0,住,,,1130116,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700622,77.24,5,2,3,有,無,7800000,100984,,0.0,0,,RPSNMLLLJHJGFDH97DA,77.24,0.0,0.0,無,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金德路３０號十二樓,20.88,住,,,1130114,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051108,163.97,3,2,2,有,有,12800000,78063,坡道平面,41.85,0,,RPTNMLPJKHJGFDH38DA,72.48,4.38,7.58,有,007
楊梅區,房地(土地+建物)+車位,桃園市楊梅區青山六街１巷５號９樓之２,16.1,住,,,1130103,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841107,120.0,3,2,2,有,有,6000000,50000,坡道平面,0.0,0,,RPPPMLPJKHJGFDH18DA,62.7,0.3,9.3,有,
大園區,房地(土地+建物),桃園市大園區科三街４２號,130.92,住,,,1130104,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1070625,318.48,4,1,6,有,無,5692000,17872,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLJKHJGFEH77DA,288.4,0.0,23.27,無,008
