"""siteid""","""sitename""","""itemid""","""itemname""","""itemengname""","""itemunit""","""monitordate""","""concentration"""
3,萬里,2,一氧化碳,CO,ppm,2023-09-01,0.09
3,萬里,1,二氧化硫,SO2,ppb,2023-09-01,0.8
2,汐止,143,小時風速值,WS_HR,m/sec,2023-09-01,1.7
2,汐止,38,相對濕度,RH,%,2023-09-01,91
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,4.1
2,汐止,14,溫度,AMB_TEMP,℃,2023-09-01,29
2,汐止,10,風速,WIND_SPEED,m/sec,2023-09-01,1.9
2,汐止,7,二氧化氮,NO2,ppb,2023-09-01,7
2,汐止,6,一氧化氮,NO,ppb,2023-09-01,3.6
2,汐止,5,氮氧化物,NOx,ppb,2023-09-01,10.7
2,汐止,4,懸浮微粒,PM10,μg/m3,2023-09-01,8
2,汐止,3,臭氧,O3,ppb,2023-09-01,8.4
2,汐止,2,一氧化碳,CO,ppm,2023-09-01,0.1
2,汐止,1,二氧化硫,SO2,ppb,2023-09-01,0.8
1,基隆,143,小時風速值,WS_HR,m/sec,2023-09-01,1.2
1,基隆,38,相對濕度,RH,%,2023-09-01,96
29,沙鹿,2,一氧化碳,CO,ppm,2023-09-01,0.27
29,沙鹿,3,臭氧,O3,ppb,2023-09-01,21.5
29,沙鹿,4,懸浮微粒,PM10,μg/m3,2023-09-01,21
29,沙鹿,5,氮氧化物,NOx,ppb,2023-09-01,11.7
29,沙鹿,6,一氧化氮,NO,ppb,2023-09-01,2
29,沙鹿,7,二氧化氮,NO2,ppb,2023-09-01,9.5
29,沙鹿,10,風速,WIND_SPEED,m/sec,2023-09-01,1.6
29,沙鹿,14,溫度,AMB_TEMP,℃,2023-09-01,29.3
29,沙鹿,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,7.8
29,沙鹿,38,相對濕度,RH,%,2023-09-01,75
29,沙鹿,143,小時風速值,WS_HR,m/sec,2023-09-01,1
30,大里,1,二氧化硫,SO2,ppb,2023-09-01,1.2
30,大里,2,一氧化碳,CO,ppm,2023-09-01,0.28
30,大里,3,臭氧,O3,ppb,2023-09-01,24.6
30,大里,4,懸浮微粒,PM10,μg/m3,2023-09-01,20
30,大里,5,氮氧化物,NOx,ppb,2023-09-01,9.9
30,大里,6,一氧化氮,NO,ppb,2023-09-01,1.3
30,大里,7,二氧化氮,NO2,ppb,2023-09-01,8.5
30,大里,8,總碳氫化物,THC,ppm,2023-09-01,2.24
30,大里,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.02
30,大里,10,風速,WIND_SPEED,m/sec,2023-09-01,1.6
30,大里,14,溫度,AMB_TEMP,℃,2023-09-01,29.3
30,大里,31,甲烷,CH4,ppm,2023-09-01,2.23
30,大里,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,8.3
30,大里,38,相對濕度,RH,%,2023-09-01,80
30,大里,143,小時風速值,WS_HR,m/sec,2023-09-01,1.2
