iter	Passed	Remaining
0	0	751
1	1	769
2	2	740
3	2	734
4	3	754
5	4	737
6	5	732
7	5	721
8	6	704
9	7	710
10	7	718
11	8	718
12	9	724
13	10	708
14	10	710
15	11	713
16	12	694
17	12	700
18	13	701
19	14	706
20	15	704
21	15	704
22	16	692
23	17	693
24	17	696
25	18	698
26	19	689
27	19	690
28	20	689
29	21	690
30	21	679
31	22	677
32	23	680
33	24	684
34	24	688
35	25	690
36	26	693
37	27	686
38	28	696
39	29	707
40	30	706
41	30	705
42	31	705
43	32	698
44	32	698
45	33	696
46	34	696
47	35	695
48	35	693
49	36	693
50	37	693
51	38	694
52	38	693
53	39	692
54	40	691
55	41	691
56	41	692
57	42	691
58	43	691
59	43	688
60	44	683
61	45	683
62	45	679
63	46	681
64	47	682
65	48	681
66	48	680
67	49	678
68	50	677
69	50	677
70	51	676
71	52	675
72	53	675
73	53	675
74	54	675
75	55	674
76	56	674
77	56	673
78	57	673
79	58	675
80	59	674
81	60	674
82	61	674
83	61	674
84	62	671
85	63	671
86	63	667
87	64	667
88	65	666
89	65	666
90	66	665
91	67	664
92	67	661
93	68	659
94	69	658
95	69	657
96	70	657
97	71	656
98	72	656
99	72	656
100	73	654
101	74	654
102	75	654
103	75	654
104	76	654
105	77	654
106	78	654
107	79	654
108	80	654
109	80	654
110	81	653
111	81	649
112	82	649
113	83	646
114	84	647
115	84	647
116	85	648
117	86	648
118	87	649
119	88	649
120	89	650
121	90	651
122	91	652
123	92	652
124	93	652
125	94	652
126	94	652
127	95	652
128	96	653
129	97	652
130	98	651
131	98	649
132	99	649
133	100	648
134	101	648
135	102	648
136	102	648
137	103	648
138	104	648
139	105	648
140	106	648
141	107	649
142	108	649
143	109	649
144	110	649
145	110	647
146	111	647
147	112	647
148	113	647
149	114	647
150	115	647
151	116	648
152	117	648
153	117	648
154	118	648
155	119	648
156	120	648
157	121	648
158	122	648
159	123	647
160	124	646
161	124	644
162	125	644
163	126	644
164	127	643
165	128	643
166	129	643
167	129	643
168	130	643
169	131	643
170	132	641
171	133	641
172	133	639
173	134	638
174	135	638
175	135	636
176	136	635
177	137	635
178	138	635
179	139	636
180	140	636
181	141	636
182	142	635
183	143	635
184	143	634
185	145	634
186	145	634
187	146	634
188	147	634
189	148	633
190	149	634
191	150	635
192	151	634
193	152	635
194	153	634
195	154	634
196	155	633
197	156	633
198	157	633
199	158	633
200	159	633
201	160	633
202	161	633
203	162	632
204	163	632
205	164	632
206	164	630
207	165	630
208	166	628
209	167	628
210	167	627
211	168	627
212	169	627
213	170	626
214	171	625
215	172	625
216	173	624
217	174	624
218	174	623
219	175	623
220	176	622
221	177	622
222	178	622
223	179	622
224	180	621
225	181	620
226	182	619
227	182	619
228	183	618
229	184	617
230	185	616
231	186	616
232	187	616
233	188	616
234	189	615
235	190	615
236	190	614
237	191	614
238	192	613
239	193	613
240	194	612
241	195	612
242	196	611
243	197	610
244	197	610
245	198	609
246	199	608
247	200	607
248	201	607
249	202	606
250	203	605
251	203	604
252	204	603
253	205	602
254	205	601
255	206	600
256	207	599
257	208	598
258	208	597
259	209	595
260	210	594
261	210	593
262	211	592
263	212	591
264	212	590
265	213	588
266	214	587
267	214	586
268	215	585
269	216	584
270	216	583
271	217	581
272	217	580
273	218	579
274	219	578
275	220	577
276	220	576
277	221	575
278	222	574
279	223	573
280	223	573
281	224	571
282	225	570
283	226	569
284	226	568
285	227	568
286	228	567
287	228	565
288	229	565
289	230	564
290	231	563
291	231	562
292	232	561
293	233	560
294	234	559
295	234	557
296	235	556
297	235	555
298	236	554
299	237	553
300	238	553
301	239	552
302	239	551
303	240	550
304	241	549
305	241	548
306	242	547
307	243	546
308	243	545
309	244	544
310	245	543
311	246	542
312	246	541
313	247	540
314	247	539
315	248	537
316	249	537
317	249	536
318	250	535
319	251	534
320	252	533
321	252	532
322	253	531
323	254	531
324	256	531
325	257	531
326	257	530
327	258	529
328	259	528
329	259	527
330	260	526
331	261	525
332	261	524
333	262	522
334	262	522
335	263	521
336	264	520
337	265	519
338	265	518
339	266	517
340	267	516
341	267	515
342	268	514
343	269	513
344	270	512
345	270	511
346	271	511
347	272	510
348	273	509
349	273	508
350	274	507
351	275	506
352	275	505
353	276	504
354	277	504
355	278	503
356	278	502
357	279	501
358	280	500
359	281	499
360	281	499
361	282	498
362	283	497
363	284	496
364	284	495
365	285	494
366	286	493
367	286	492
368	287	491
369	288	490
370	288	489
371	289	488
372	290	487
373	290	486
374	291	486
375	292	485
376	293	484
377	293	483
378	294	482
379	295	481
380	295	480
381	296	479
382	297	478
383	297	477
384	298	477
385	299	475
386	299	474
387	300	474
388	301	473
389	302	472
390	303	471
391	303	470
392	304	470
393	305	469
394	305	468
395	306	467
396	307	467
397	308	466
398	309	465
399	309	464
400	310	464
401	311	463
402	312	462
403	312	461
404	313	460
405	314	459
406	315	458
407	315	458
408	316	457
409	317	456
410	317	455
411	318	454
412	319	454
413	319	452
414	320	451
415	321	450
416	321	449
417	322	448
418	323	448
419	323	447
420	324	446
421	325	445
422	325	444
423	326	443
424	327	442
425	327	441
426	328	440
427	329	440
428	330	439
429	330	438
430	331	437
431	332	436
432	333	436
433	333	435
434	334	434
435	335	433
436	336	433
437	336	432
438	337	431
439	338	430
440	338	429
441	339	428
442	340	427
443	340	426
444	341	426
445	342	425
446	343	424
447	344	423
448	344	423
449	345	422
450	346	421
451	346	420
452	347	419
453	348	418
454	349	418
455	349	417
456	350	416
457	351	415
458	3459	358459	3460	359460	3461	360461	3462	360462	3463	361463	3464	362464	3465	363465	3466	363466	3467	364467	3468	365468	3469	366469	3470	367470	3471	367471	3472	368472	3473	369473	3474	370474	3475	371475	3476	371476	3477	372477	3478	373478	3479	374479	3480	375480	3481	375481	3482	376482	3483	377483	3484	378484	3485	378485	3486	379486	3487	380487	3488	381488	3489	382	397
490	382	396
491	383	396
492	384	395
493	385	394
494	385	393
495	386	392
496	387	391
497	388	391
498	388	390
499	389	389
500	390	388
501	391	388
502	392	387
503	393	386
504	394	386
505	395	385
506	396	385
507	396	384
508	397	383
509	398	382
510	399	381
511	399	381
512	400	380
513	401	379
514	402	378
515	403	378
516	403	377
517	404	376
518	405	375
519	406	374
520	406	374
521	407	373
522	408	372
523	408	371
524	409	370
525	410	369
526	411	368
527	411	368
528	412	367
529	413	366
530	414	365
531	414	364
532	415	363
533	416	363
534	416	362
535	417	361
536	417	360
537	418	359
538	419	358
539	420	358
540	421	357
541	421	356
542	422	355
543	423	354
544	423	353
545	424	353
546	425	352
547	426	351
548	427	350
549	427	350
550	428	349
551	429	348
552	429	347
553	430	346
554	431	346
555	432	345
556	433	344
557	434	343
558	434	343
559	435	342
560	436	341
561	437	340
562	438	340
563	438	339
564	440	338
565	440	338
566	441	337
567	442	336
568	443	335
569	444	334
570	444	334
571	445	333
572	446	332
573	447	331
574	447	330
575	448	330
576	449	329
577	449	328
578	450	327
579	451	326
580	452	326
581	453	325
582	453	324
583	454	323
584	455	323
585	456	322
586	457	321
587	457	320
588	458	320
589	459	319
590	460	318
591	461	317
592	461	317
593	462	316
594	463	315
595	464	314
596	465	313
597	466	313
598	467	312
599	467	311
600	468	311
601	470	310
602	470	310
603	471	309
604	472	308
605	473	307
606	474	306
607	474	306
608	475	305
609	476	304
610	477	303
611	478	303
612	478	302
613	479	301
614	480	300
615	481	299
616	482	299
617	482	298
618	483	297
619	484	296
620	484	295
621	485	295
622	486	294
623	487	293
624	488	293
625	489	292
626	490	291
627	490	290
628	491	290
629	492	289
630	493	288
631	494	287
632	494	286
633	495	286
634	496	285
635	497	284
636	498	283
637	498	283
638	499	282
639	500	281
640	501	280
641	502	280
642	503	279
643	505	279
644	505	278
645	506	277
646	507	276
647	508	276
648	509	275
649	510	274
650	511	274
651	512	273
652	512	272
653	512	271
654	513	270
655	514	269
656	515	268
657	515	268
658	516	267
659	517	266
660	518	265
661	518	264
662	519	264
663	520	263
664	521	262
665	521	261
666	522	260
667	523	260
668	524	259
669	525	258
670	525	257
671	526	257
672	527	256
673	528	255
674	529	254
675	530	254
676	530	253
677	531	252
678	532	251
679	533	250
680	534	250
681	535	249
682	536	248
683	536	248
684	538	247
685	539	246
686	539	245
687	540	245
688	541	244
689	542	243
690	542	242
691	543	241
692	544	241
693	545	240
694	545	239
695	546	238
696	547	237
697	548	237
698	548	236
699	549	235
700	550	234
701	551	234
702	552	233
703	552	232
704	553704	5705	554705	5706	555	230
707	555	229
708	556	228
709	557	227
710	558	226
711	559711	5712	559	225
713	560713	5714	561714	5715	562	222
716	563	222
717	563	221
718	564	220
719	565	219
720	566	219
721	567	218
722	568	217
723	569	216
724	569	216
725	570	215
726	571	214
727	572	213
728	573	213
729	573	212
730	574	211
731	575	210
732	575	209
733	576	209
734	577	208
735	578	207
736	579	206
737	579	205
738	580	205
739	581	204
740	582	203
741	583	202
742	583	201
743	584	201
744	585	200
745	586745	5746	586746	5747	587747	5748	588748	5749	588749	5750	589750	5751	590751	5752	591752	5753	591753	5754	592754	5755	593755	5756	594756	5757	594757	5758	596758	5759	596759	5760	597760	5761	598761	5762	599762	5763	599763	5764	600764	5765	601765	5766	602766	5767	602767	5768	603768	5769	604769	5770	605770	5771	606771	5772	606772	5773	607773	5774	608774	5775	609775	5776	610776	6777	610777	6778	611778	6779	612779	6780	613780	6781	613781	6782	614782	6783	615783	6784	616784	6785	617785	6786	617786	6787	618	166
788	619	165
789	620	164
790	621	164
791	622	163
792	623	162
793	623	161
794	624	161
795	625795	6796	626796	6797	626797	6798	628798	6799	629799	6800	629800	6801	630801	6802	631802	6803	632803	6804	632804	6805	633805	6806	634806	6807	635807	626	148
808	627	148
809	627	147
810	6811	638811	6812	639812	6813	640813	6814	641814	6815	641815	6816	642816	6817	643	143
818	644	142
819	645	141
820	645	140
821	646	140
822	647	139
823	648	138
824	649	137
825	649	136
826	650	136
827	651	135
828	652	134
829	653	133
830	654	133
831	654	132
832	655	131
833	656	130
834	657	129
835	657	129
836	658	128
837	659	127
838	660	126
839	661	125
840	661	125
841	662	124
842	663	123
843	664	122
844	665	122
845	665	121
846	666	120
847	667	119
848	668	118
849	669	118
