鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
土城區,房地(土地+建物),中央路一段241~270號,15.27,都市：其他:商業區,,,1090820,土地1建物1車位0,十五層,三十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081120,101.32999999999998,1,0,0,有,有,11980000,118228,,0.0,0,工程折讓9萬元,RPTQMLOLQHPFFAF76DA,54.92,7.0,4.43,有
板橋區,房地(土地+建物),金華街8巷1~30號,14.84,都市：其他:住宅區,,,1090910,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690129,53.82,3,2,1,有,無,2300000,42735,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPUPMLLKRHPFFAF09DA,53.82,0.0,0.0,無
土城區,房地(土地+建物),中央路一段241~270號,16.14,都市：其他:商業區,,,1090905,土地1建物1車位0,二十九層,三十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081120,107.17999999999999,1,0,0,有,有,13250000,123624,,0.0,0,工程折讓9萬元,RPTNMLKKRHPFFAF68DA,61.56,5.07,3.64,有
板橋區,房地(土地+建物)+車位,廣權路31~60號,19.81,都市：其他:住宅區,,,1090915,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080819,146.18,2,2,1,有,有,19500000,133397,塔式車位,5.73,0,,RPSOMLLKRHPFFAF78DA,79.97,4.0,9.2,有
土城區,房地(土地+建物),中央路一段241~270號,15.27,都市：其他:商業區,,,1090915,土地1建物1車位0,二十五層,三十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081120,101.32999999999998,1,0,0,有,有,12600000,124346,,0.0,0,工程折讓9萬元,RPUOMLSKRHPFFAF07DA,54.92,7.0,4.43,有
土城區,房地(土地+建物)+車位,清水路211~240號,15.25,都市：其他:第二種住宅區,,,1090823,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980521,105.35,2,2,1,有,有,12400000,117703,坡道機械,5.5,0,,RPRPMLSLRHPFFAF96DA,52.38,2.22,6.63,有
土城區,房地(土地+建物)+車位,龍山一街1~30號,26.4,都市：其他:第二種住宅區,,,1090929,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090715,163.18,3,2,2,有,有,16800000,122079,坡道平面,39.49,1700000,,RPVRMLRJIIPFFAF09DA,76.32,0.0,6.6,有
板橋區,土地,大同段121~150地號,54.85,都市：其他:乙種工業區,,,1090822,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5451100,99382,,0.0,0,,RPPNMLSJIIPFFAF18DA,0.0,0.0,0.0,無
板橋區,土地,大同段121~150地號,22.61,都市：其他:乙種工業區,,,1090822,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2239400,99045,,0.0,0,,RPQNMLSJIIPFFAF28DA,0.0,0.0,0.0,無
板橋區,土地,大同段121~150地號,38.5,都市：其他:乙種工業區,,,1090822,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3826000,99377,,0.0,0,,RPRNMLSJIIPFFAF38DA,0.0,0.0,0.0,無
板橋區,房地(土地+建物)+車位,永豐街49巷1~30號,25.23,都市：其他:住宅區,,,1090908,土地1建物1車位1,四層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060811,211.01999999999998,4,2,2,有,無,36560000,181450,坡道平面,23.31,2500000,,RPROMLSJIIPFFAF48DA,103.3,16.05,6.32,有
板橋區,房地(土地+建物)+車位,忠孝路196巷31~60號,24.37,都市：其他:住宅區,,,1090913,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,157.69,3,2,2,有,有,17450000,110660,坡道平面,0.0,2000000,陽台外推;其他增建;,RPVOMLMKIIPFFAF38DA,97.15,2.69,10.49,有
板橋區,房地(土地+建物)+車位,永翠路91~120號,10.85,都市：其他:第二種住宅區,,,1061026,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090420,99.13,2,1,1,有,有,10060000,123815,坡道平面,31.61,1700000,預售屋、或土地及建物分次登記案件;,RPUTMLMKIIPFFAF78DA,38.76,2.27,4.06,有
板橋區,房地(土地+建物)+車位,永翠路91~120號,10.85,都市：其他:第二種住宅區,,,1070818,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090420,97.97999999999999,2,1,1,有,有,9880000,126262,坡道平面,31.61,1500000,預售屋、或土地及建物分次登記案件;,RPVTMLMKIIPFFAF88DA,38.93,1.16,4.23,有
板橋區,房地(土地+建物),大仁街110巷12弄1~30號,29.4,都市：其他:住宅區,,,1090905,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720209,86.56,3,2,1,有,無,8600000,99353,,0.0,0,其他增建;,RPPRMLNKIIPFFAF18DA,79.76,0.0,6.8,無
土城區,房地(土地+建物),金城路三段31~60號,16.26,都市：其他:第二種住宅區,,,1090813,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991228,83.75,2,2,1,有,有,11350000,135522,,0.0,0,陽台外推;,RPORMLMKIIPFFAF97DA,46.74,2.37,12.29,有
板橋區,房地(土地+建物),華東街271~300號,12.04,都市：其他:住宅區,,,1090920,土地2建物1車位0,四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,130.1,3,2,2,有,有,20480000,157417,,0.0,0,預售屋、或土地及建物分次登記案件;,RPPQMLOKIIPFFAF18DA,73.04,2.04,16.41,有
土城區,房地(土地+建物)+車位,裕生路21巷6弄1~30號,21.22,都市：其他:第二種住宅區,,,1090919,土地3建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881015,154.12,3,2,2,有,有,17580000,114067,坡道平面,35.04,0,陽台外推;,RPXQMLOKIIPFFAF98DA,84.74,0.0,7.55,有
板橋區,房地(土地+建物),長江路二段151~180號,9.35,都市：其他:住宅區,,,1090116,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090804,76.53,2,1,1,有,有,11800000,154188,,0.0,0,,RPPTMLOKIIPFFAF48DA,43.01,4.95,2.7,有
板橋區,房地(土地+建物)+車位,長江路二段151~180號,10.75,都市：其他:住宅區,,,1090607,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090804,88.03,2,1,1,有,有,12850000,156148,升降機械,11.5,900000,,RPRTMLOKIIPFFAF68DA,43.01,4.95,2.7,有
板橋區,房地(土地+建物),長江路二段151~180號,9.35,都市：其他:住宅區,,,1090208,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090804,76.53,2,1,1,有,有,12080000,157847,,0.0,0,,RPSTMLOKIIPFFAF78DA,43.01,4.95,2.7,有
板橋區,房地(土地+建物),南雅東路1~30號,4.4,都市：其他:商業區,,,1090807,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0861121,41.18,1,1,1,有,有,4600000,111705,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPOWMLOKIIPFFAF68DA,27.44,0.0,0.0,有
板橋區,房地(土地+建物)+車位,華東街271~300號,13.09,都市：其他:住宅區,,,1090706,土地2建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,151.32,3,2,2,有,有,21900000,154535,坡道平面,22.87,2050000,預售屋、或土地及建物分次登記案件;,RPVPMLPKIIPFFAF78DA,71.57,2.78,15.96,有
板橋區,房地(土地+建物),三民路一段3巷1~30號,26.5,都市：其他:住宅區,,,1090906,土地3建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,84.1,3,2,1,有,無,9100000,108205,,0.0,0,陽台外推;,RPPQMLPKIIPFFAF28DA,84.1,0.0,0.0,無
板橋區,房地(土地+建物)+車位,文化路一段331~360號,3.1,都市：其他:住宅區,,,1090901,土地1建物1車位1,二十八層,四十層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,74.44,1,1,1,有,有,12530000,168323,坡道平面,28.94,0,,RPSQMLPKIIPFFAF58DA,25.47,0.0,4.44,有
板橋區,房地(土地+建物),館前西路151~180號,13.75,都市：其他:道路用地,,,1090910,土地2建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720929,103.63,3,2,2,有,無,10200000,98427,,0.0,0,其他增建;,RPOPMLPKIIPFFAF08DA,77.53,11.05,4.24,有
土城區,房地(土地+建物),金城路三段241~270號,3.06,都市：其他:第一種住宅區,,,1090905,土地1建物1車位0,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840905,35.85,1,0,1,有,有,3670000,102371,,0.0,0,其他增建;,RPQOMLQKIIPFFAF28DA,27.63,0.86,0.0,有
板橋區,房地(土地+建物),長安街168巷10弄1~30號,40.75,都市：其他:住宅區,,,1090916,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0670707,74.23,4,1,1,有,無,6820000,91877,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSOMLQKIIPFFAF48DA,74.23,0.0,0.0,無
板橋區,房地(土地+建物),篤行路二段141巷1~30號,22.14,都市：其他:商業區,,,1090808,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,91.0,2,2,1,有,無,7000000,76923,,0.0,0,,RPVOMLQKIIPFFAF78DA,80.81,0.0,10.19,無
板橋區,房地(土地+建物),太和街6巷1~30號,25.5,都市：其他:住宅區,,,1090713,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680126,79.1,3,2,2,有,無,8700000,109987,,0.0,0,陽台外推;其他增建;,RPXOMLQKIIPFFAF98DA,65.13,0.0,13.97,無
土城區,土地,地號1~30地號,15.1,都市：其他:,,,1090926,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2739900,181450,,0.0,0,,RPWNMLQKIIPFFAF78DA,0.0,0.0,0.0,無
板橋區,房地(土地+建物),龍泉街91~120號,7.76,都市：其他:住宅區,,,1090807,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840630,43.03,1,1,1,有,有,5600000,130142,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSQMLQKIIPFFAF68DA,30.57,0.0,0.0,有
板橋區,房地(土地+建物)+車位,長江路二段91~120號,17.68,都市：其他:住宅區,,,1090919,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860630,136.58,3,2,2,有,有,15000000,109826,坡道平面,0.0,0,陽台外推;,RPQNMLTKIIPFFAF48DA,66.04,1.23,7.54,有
